Distance_(pixels),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24
0,74.657,0,90.450,0,111.013,0,73.569,0,86.043,0,97.615,0,128.677,0,69.896,0,84.502,0,110.440,0,145.785,0,146.052,0,77.091,0,116.923,0,127.145,0,87.894,0,77.1598,0,113.9621,0,123.128,0,82.589,0,41.582,0,102.214,0,124.062,0,128.311,0,120.8875
1,72.409,1,90.020,1,109.453,1,73.308,1,89.059,1,101.515,1,127.878,1,72.054,1,82.984,1,111.367,1,145.762,1,150.609,1,77.285,1,115.362,1,129.342,1,86.515,1,75.2474,1,112.8239,1,124.633,1,83.869,1,41.954,1,101.963,1,124.246,1,128.181,1,120.1080
2,70.833,2,89.886,2,107.841,2,73.073,2,92.102,2,105.022,2,127.043,2,74.173,2,81.328,2,112.259,2,145.645,2,154.596,2,77.669,2,113.906,2,131.207,2,85.171,2,73.7585,2,112.1321,2,126.243,2,85.308,2,42.194,2,102.003,2,124.276,2,127.735,2,119.5579
3,69.708,3,89.996,3,106.293,3,72.979,3,95.423,3,108.075,3,126.354,3,76.417,3,79.885,3,113.046,3,145.378,3,158.419,3,78.317,3,112.358,3,132.955,3,84.001,3,72.2544,3,111.5858,3,127.866,3,86.929,3,42.486,3,102.379,3,123.991,3,126.912,3,119.3097
4,68.836,4,90.249,4,105.070,4,73.102,4,99.197,4,110.897,4,125.974,4,78.380,4,78.789,4,114.062,4,144.614,4,161.830,4,79.061,4,110.811,4,134.590,4,83.104,4,70.9238,4,111.1200,4,129.183,4,88.837,4,42.835,4,103.024,4,123.602,4,126.093,4,118.9282
5,68.515,5,90.243,5,104.076,5,73.116,5,102.457,5,113.465,5,125.719,5,80.178,5,77.598,5,114.921,5,143.679,5,164.818,5,79.841,5,109.141,5,136.092,5,82.256,5,70.0821,5,110.8968,5,130.519,5,90.997,5,43.210,5,104.126,5,123.013,5,125.241,5,118.5923
6,68.904,6,90.283,6,103.409,6,73.049,6,105.026,6,115.466,6,125.482,6,81.653,6,76.209,6,115.692,6,142.321,6,167.663,6,80.176,6,107.202,6,137.904,6,81.590,6,69.0677,6,110.5691,6,131.916,6,92.895,6,43.592,6,105.600,6,122.232,6,124.459,6,118.3556
7,69.585,7,90.490,7,103.034,7,72.845,7,107.119,7,117.015,7,125.270,7,83.169,7,74.587,7,116.311,7,140.745,7,170.163,7,80.353,7,104.936,7,139.729,7,81.110,7,67.9017,7,110.1982,7,132.979,7,94.630,7,43.846,7,107.442,7,121.039,7,123.470,7,118.0306
8,70.864,8,90.576,8,102.837,8,72.566,8,108.987,8,118.005,8,125.084,8,84.603,8,73.034,8,116.672,8,138.842,8,172.389,8,80.077,8,102.437,8,141.052,8,80.875,8,66.5684,8,109.8771,8,133.751,8,96.286,8,43.977,8,109.551,8,119.807,8,122.462,8,117.9275
9,72.876,9,90.825,9,102.946,9,72.232,9,110.682,9,118.497,9,124.806,9,86.364,9,71.620,9,116.667,9,136.485,9,174.132,9,79.454,9,100.054,9,141.812,9,80.687,9,65.1595,9,109.6971,9,134.229,9,97.871,9,43.854,9,112.079,9,118.411,9,121.183,9,117.9632
