Distance_(pixels),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22
0,63.878,0,67.070,0,76.676,0,124.675,0,60.670,0,63.344,0,84.595,0,97.173,0,96.625,0,138.131,0,35.126,0,121.466,0,109.213,0,93.627,0,141.993,0,65.264,0,64.982,0,150.095,0,78.402,0,78.130,0,65.229,0,115.734,0,81.385
1,65.262,1,67.041,1,77.928,1,125.314,1,59.453,1,63.593,1,86.525,1,99.468,1,96.465,1,135.363,1,34.728,1,119.896,1,110.843,1,93.838,1,141.364,1,66.452,1,66.272,1,151.211,1,77.532,1,79.412,1,65.663,1,110.912,1,81.301
2,67.179,2,67.061,2,79.327,2,126.350,2,58.253,2,63.919,2,88.429,2,101.737,2,96.600,2,132.932,2,34.410,2,118.569,2,112.768,2,94.013,2,140.654,2,67.669,2,67.222,2,152.145,2,76.431,2,80.658,2,66.177,2,106.551,2,81.444
3,69.501,3,67.027,3,80.516,3,127.151,3,57.326,3,64.372,3,90.307,3,103.939,3,97.131,3,130.616,3,34.193,3,117.472,3,114.479,3,94.179,3,140.092,3,69.140,3,68.097,3,152.947,3,75.070,3,81.917,3,66.746,3,102.601,3,81.768
4,72.133,4,67.090,4,81.594,4,128.008,4,56.498,4,64.915,4,92.143,4,106.145,4,98.308,4,128.634,4,34.037,4,116.369,4,116.330,4,94.345,4,139.039,4,70.557,4,68.674,4,153.729,4,73.518,4,83.074,4,67.452,4,98.622,4,82.410
5,75.148,5,67.132,5,82.292,5,129.116,5,56.140,5,65.321,5,94.421,5,108.279,5,99.767,5,126.284,5,34.017,5,115.045,5,118.307,5,94.355,5,137.627,5,71.653,5,69.132,5,154.617,5,71.755,5,84.063,5,67.950,5,95.100,5,83.694
6,78.351,6,67.126,6,82.414,6,130.622,6,56.140,6,65.460,6,96.606,6,110.239,6,101.458,6,123.621,6,34.324,6,113.361,6,120.150,6,94.311,6,136.031,6,72.775,6,69.227,6,155.521,6,70.050,6,84.971,6,68.454,6,91.780,6,85.393
7,81.923,7,67.263,7,82.271,7,132.387,7,56.301,7,65.892,7,98.255,7,112.142,7,103.414,7,121.184,7,34.866,7,111.165,7,122.190,7,94.208,7,133.945,7,73.766,7,69.301,7,156.077,7,68.561,7,85.821,7,68.963,7,88.848,7,87.067
8,85.704,8,67.299,8,82.000,8,134.106,8,56.731,8,66.438,8,99.871,8,113.674,8,105.515,8,118.874,8,35.642,8,108.835,8,124.474,8,94.280,8,131.209,8,74.807,8,69.375,8,156.246,8,66.956,8,86.538,8,69.635,8,86.512,8,88.558
9,89.679,9,67.522,9,81.465,9,135.524,9,57.567,9,67.229,9,101.536,9,114.756,9,107.807,9,116.905,9,36.642,9,106.374,9,126.445,9,94.577,9,128.407,9,76.107,9,69.409,9,155.847,9,65.478,9,87.581,9,70.435,9,84.612,9,90.034
10,92.977,10,67.801,10,81.020,10,136.347,10,58.859,10,68.102,10,102.773,10,115.660,10,110.307,10,115.477,10,38.099,10,103.824,10,128.195,10,94.712,10,125.605,10,77.181,10,69.426,10,155.101,10,64.225,10,88.637,10,71.522,10,83.351,10,91.632
11,95.819,11,68.074,11,80.578,11,137.039,11,60.307,11,69.137,11,103.690,11,116.706,11,112.836,11,114.345,11,39.950,11,101.398,11,129.707,11,94.738,11,122.653,11,78.374,11,69.657,11,153.973,11,62.922,11,89.732,11,72.676,11,82.506,11,93.174
12,98.714,12,68.591,12,80.096,12,137.281,12,61.826,12,70.497,12,104.467,12,117.712,12,114.981,12,113.461,12,41.877,12,99.189,12,130.980,12,94.502,12,119.657,12,79.685,12,70.013,12,152.511,12,61.671,12,90.731,12,73.694,12,82.260,12,94.751
13,101.476,13,69.338,13,79.640,13,137.055,13,63.644,13,72.169,13,104.942,13,118.581,13,116.781,13,112.966,13,44.050,13,97.671,13,131.981,13,94.163,13,117.156,13,81.125,13,70.540,13,150.751,13,60.489,13,91.968,13,74.429,13,82.233,13,96.345
